domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_09,0.7435681166017342,0.6086416930384216,-0.7751730416504898,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_10,0.7442375233734533,0.6113739484322038,-0.7082323644785782,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_11,0.7451479165829908,0.6055843063983621,-0.6171930435248218,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_12,0.752038343619884,0.6149058443280992,0.07184966016449135,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_13,0.7536672334310668,0.6173837957205384,0.23473864128277233,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_14,0.7504674690622505,0.6185810698205809,-0.08523779559885813,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_15,0.7521945385332852,0.6150723374014477,0.08746915150461554,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_16,0.7527880792042092,0.6163025763163833,0.1468232185970142,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_17,0.7416893149291097,0.6073595608732671,-0.963053208912934,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_18,0.7469687030020662,0.6130000295212624,-0.435114401617287,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,node_permuted_19,0.7492357606022876,0.6140523644406077,-0.20840864159514805,1.4543977793545992
processbench_llama,omnimath,llama31_8b__omnimath,iu,0.7990093976022173,0.6187563333993488,0.0,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,primary_one_se,0.8067013268167877,0.6300087269443331,0.7691929214570403,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,max_mean_sensitivity,0.8152952946386105,0.6416770886975823,1.628589703639316,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,dufs_graph,0.8017100465233246,0.6239594548514246,0.2700648921107218,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,contribution_graph,0.8070840098622888,0.6319125550439324,0.8074612260071445,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,equal_cell_pooling,0.8075869647220901,0.6334587854283852,0.8577567119872787,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,cross_only,0.8066029226050875,0.6298532661714403,0.7593525002870138,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_00,0.7996162235743689,0.621877870438693,0.0606825972151559,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_01,0.8021856668798758,0.6237612180600316,0.3176269277658461,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_02,0.7942258595334547,0.611370150496919,-0.47835380687626383,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_03,0.8019451232512751,0.6236901643463705,0.2935725649057752,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_04,0.7961611423635598,0.6141998827474381,-0.28482552386575044,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_05,0.7933019533236023,0.6100373206562151,-0.5707444278615026,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_06,0.7865065958156342,0.5977917719000683,-1.250280178658314,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_07,0.7955215149875081,0.616692215654557,-0.34878826147092257,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_08,0.7940673194146043,0.6101569275540621,-0.49420781876130526,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_09,0.7912956007850469,0.6041358593162968,-0.7713796817170437,1.4984774681689683
processbench_llama,omnimath,llama31_8b__omnimath,node_permuted_10,0.7909785205473461,0.6072471076882155,-0.8030877054871266,1.4984774681689683
