split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
cell,spilled_triviaqa_llama8b,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,knn_manifold_k5,0.9033333333333333,0.9974747134142304
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,epr_risk,0.6057253393461889,0.9221620515220783
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,mean_confidence_risk,0.649453792837611,0.934300623634186
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,iu_pcr_risk,0.6615596882666717,0.9369951372486383
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,shared_direction,0.6406125693219742,0.9322585493729553
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,balanced_logistic,0.6520035083041458,0.9364627151380409
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,ppca_manifold_k4,0.6176408574695287,0.9308303615914277
cell,truthfulqa_llama8b,truthfulqa_llama8b,truthfulqa,QA,7633,0.8940128389886022,knn_manifold_k5,0.643233110218135,0.9317218477120004
cell,ars_gsm8k_r1distill8b,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,epr_risk,0.6905704589528119,0.4660319665179775
cell,ars_gsm8k_r1distill8b,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,mean_confidence_risk,0.7536158694246929,0.546766942584124
cell,ars_gsm8k_r1distill8b,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,iu_pcr_risk,0.7575953458306399,0.5491605326120683
cell,ars_gsm8k_r1distill8b,ars_gsm8k_r1distill8b,gsm8k,math,500,0.272,shared_direction,0.7441216871363932,0.5377435344924559
